,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
0,sdturbo,onnxruntime_cpu,1,550,550,550,550
1,sdturbo,onnxruntime_cpu,2,980,980,980,980
2,sdturbo,onnxruntime_cpu,4,1850,1850,1850,1850
3,sdturbo,onnxruntime_cpu,8,3580,3580,3580,3580
4,sdturbo,onnxruntime_cpu,16,7100,7100,7100,7100
5,sdturbo,onnxruntime_cpu,32,100000,100000,100000,100000
6,sdturbo,onnxruntime_gpu_pascal,1,550,550,550,550
7,sdturbo,onnxruntime_gpu_pascal,2,980,980,980,980
8,sdturbo,onnxruntime_gpu_pascal,4,1850,1850,1850,1850
9,sdturbo,onnxruntime_gpu_pascal,8,3580,3580,3580,3580
10,sdturbo,onnxruntime_gpu_pascal,16,7100,7100,7100,7100
11,sdturbo,onnxruntime_gpu_pascal,32,100000,100000,100000,100000
12,sdturbo,onnxruntime_gpu_ampere,1,550,550,550,550
13,sdturbo,onnxruntime_gpu_ampere,2,980,980,980,980
14,sdturbo,onnxruntime_gpu_ampere,4,1850,1850,1850,1850
15,sdturbo,onnxruntime_gpu_ampere,8,3580,3580,3580,3580
16,sdturbo,onnxruntime_gpu_ampere,16,7100,7100,7100,7100
17,sdturbo,onnxruntime_gpu_ampere,32,100000,100000,100000,100000
18,sdv15,onnxruntime_cpu,1,6100,6100,6100,6100
19,sdv15,onnxruntime_cpu,2,10650,10650,10650,10650
20,sdv15,onnxruntime_cpu,4,20920,20920,20920,20920
21,sdv15,onnxruntime_cpu,8,40230,40230,40230,40230
22,sdv15,onnxruntime_cpu,16,79110,79110,79110,79110
23,sdv15,onnxruntime_cpu,32,100000,100000,100000,100000
24,sdv15,onnxruntime_gpu_pascal,1,6100,6100,6100,6100
25,sdv15,onnxruntime_gpu_pascal,2,10650,10650,10650,10650
26,sdv15,onnxruntime_gpu_pascal,4,20920,20920,20920,20920
27,sdv15,onnxruntime_gpu_pascal,8,40230,40230,40230,40230
28,sdv15,onnxruntime_gpu_pascal,16,79110,79110,79110,79110
29,sdv15,onnxruntime_gpu_pascal,32,100000,100000,100000,100000
30,sdv15,onnxruntime_gpu_ampere,1,6100,6100,6100,6100
31,sdv15,onnxruntime_gpu_ampere,2,10650,10650,10650,10650
32,sdv15,onnxruntime_gpu_ampere,4,20920,20920,20920,20920
33,sdv15,onnxruntime_gpu_ampere,8,40230,40230,40230,40230
34,sdv15,onnxruntime_gpu_ampere,16,79110,79110,79110,79110
35,sdv15,onnxruntime_gpu_ampere,32,100000,100000,100000,100000
